Product Name,Rating,Total Ratings,Price,Type,Platform,Categories
"Dekorly Artificial Potted Plants, 8 Pack Artificial Plastic Eucalyptus Plants Small Indoor Potted Houseplants, Small Faux Plants for Home Decor Bathroom Office Farmhouse (Set 0F 8)",4.2,"7,093",299,Home Decor,Amazon,Decorative Item
Decazone Macrame Indoor Wall Hanging Shelf Chic Decor Wood Floating Boho Shelves with Wooden Dowel Hand Woven Bohemian Decor for Apartment Dorm Bedroom Living Room Nursery Beige 60 x 30cm,4.2,"1,271",284,Home Decor,Amazon,Decorative Item
"FUNTEREST Gold Metal Wall Decor Leaf Wall Hanging Decoration, Set of 3 Metal Wall Art Home Decor for Living Room Office Bedroom Hotel",3.6,366,"1,035",Home Decor,Amazon,Decorative Item
"Litleo Plastic Artificial Plants Mini Fake Potted Plants, Small Eucalyptus Potted Faux Decorative Grass Plant With White Pot For Home Decor, Indoor, Office, Desk, Shelf, Table Decoration (Pack Of 4)",4,"1,034",197,Home Decor,Amazon,Decorative Item
"Desidiya ® 20 Photo Clip LED String Lights for Photo Hanging, Birthday, Festival, Wedding, Party for Home, Patio, Lawn, Restaurants Home Decoration (Warm White)",4,"24,436",299,Home Decor,Amazon,Decorative Item
eCraftIndia Meditating Monk Buddha Smoke Backflow Cone Incense Holder Decorative Showpiece with 10 Free Smoke Backflow Scented Cone Incenses,3.7,"2,995",140,Home Decor,Amazon,Decorative Item
"Woodsify 3d Wooden World map 05-Home Wall Decor Travel Map House Warming Educational Anniversary Gift, Living Room Wall Decoration (X-Large, 79""*47"")",4.7,136,"16,050",Home Decor,Amazon,Decorative Item
"KridayKraft Prince Home Decor & Gifts Metal Krishna With Cow Standing Under Tree Plying Flute (Gold, 12.5X8X16Cm), 1 Piece",4.3,"1,685",289,Home Decor,Amazon,Decorative Item
Artvibes Designer Elephant Wooden Wall Hanging For Home Decor | Hamsa Hand Decoration for Livingroom | Modern Artworks Items | Peace Charm Door Accent Decorative Hangings (WH_8506N),4,166,199,Home Decor,Amazon,Decorative Item
"wolpin Tree Key Holders with Tray for Dressing Table Home Decor Hallway Multiple Key Hanger, Watch Holder Decorative Storage Box, White",4,171,208,Home Decor,Amazon,Decorative Item
"Decor incredible Metal Wall Decor - Stunning Ginkgo Wall Hanging Art for Home/Living Spaces [Size 37x2x21inch] Analog, Multicolor",4,147,"1,410",Home Decor,Amazon,Decorative Item
CPENSUS Moving Sand Art Picture Glass Liquid Painting 3D Natural Landscape showpieces for Home Decor Antique Gifts for Kids Office Desktop Decoration Desk Table Decorative Items,3.9,757,499,Home Decor,Amazon,Decorative Item
"Painting Mantra - Multicolor Jardine Birds Set of 4 Brown Framed Painting,UV Textured Art Prints (9 x 9 inch)",4,"3,717",319,Home Decor,Amazon,Decorative Item
"UHUD CRAFTS Hanging Shelves - Adjustable Rope Hanging Shelf, Wall Hanging Decor, Lightweight, Premium Wooden Shelf, Hanging Plant Shelf for Bedroom and Living Room (1 Pcs)",4.1,347,169,Home Decor,Amazon,Decorative Item
"TIED RIBBONS Resin Buddha Monk Statues, Small, Multicolour, Set of 4",4.4,"12,614",199,Home Decor,Amazon,Decorative Item
"SATYAM KRAFT 3 Pcs Artificial Flowers Small Fake Flower Faux Pampas Fluffy for Home, Office, Bedroom Decoration (Without Vase Pot) (Light Brown, Fabric)",4.1,571,399,Home Decor,Amazon,Decorative Item
FAIRY FIRST Resin Set Of 4 Buddha Monk Statues Miniature Figurines Showpiece For Wall Shelf Table Desktop Car Dashboard Decoration Home Office Decor (Cute_Buddha_Set-Of-4),4.5,112,99,Home Decor,Amazon,Decorative Item
"Indianara Set of 3 Beautiful Flower vases Framed Art Painting (6 X 13, 10.2 X 13, 6 X 13 inch)-Multicolour",4.1,"3,465",229,Home Decor,Amazon,Decorative Item
Amazon Brand - Solimo Wooden Home and Wall Decor Items | Set of 5,4.1,65,189,Home Decor,Amazon,Decorative Item
"Bikri Kendra - Hexagon 20 Golden mirror stickers for wall, hexagon mirror wall stickers, acrylic mirror sticker, hexagonal mirror wall sticker, wall mirror stickers,wall stickers for hall room, (Gold)",3.8,"7,371",249,Home Decor,Amazon,Decorative Item
"eCraftIndia Buddha Showpiece (22cm x 16 cm x 6 cm, Blue) - Polyresin",3.9,"2,741",299,Home Decor,Amazon,Decorative Item
"eCraftIndia Antique Music Decorative Canon Brass Showpiece (10 cm x 10 cm x 23.75 cm, Red and Brown)",3.4,"9,844",345,Home Decor,Amazon,Decorative Item
"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",3.7,"4,447",274,Home Decor,Amazon,Decorative Item
"DULI Dream Catcher with Lights, Home Decor, Handmade Dreamcatcher for Bedroom, Balcony, Garden Bedrooms, Party, Cafe,Home Wall,Hanging Design, Height76cm,Dream Catchers (DC30withLight: Multi)",4,137,275,Home Decor,Amazon,Decorative Item
"Homesake® Lamp, Table Lamp, Night Lamp for Bedroom, Home Decor Items, Lamp for Living Room, Light Lamp, Bedside Lamp, Room Decor, Dovel Pot - (Wooden Base, Birds)",4,824,928,Home Decor,Amazon,Decorative Item
Artvibes Decorative Wall Art MDF Wooden Hanger for Living Room | Good Vibes Only | Bedroom | Home Decor | Office | Gift | Quotes Item | Wall Hanging For House Decoration | Wall Art(WH_6502N),4.3,"3,517",239,Home Decor,Amazon,Decorative Item
Dekorly® 4 Packs Artificial Potted Plants Bathroom Fake Shelf Plant Office Table Decor Mini Green Faux Topiary Kitchen Cabinet Farmhouse Decorations (4 Plastic Pots),4,429,299,Home Decor,Amazon,Decorative Item
eCraftIndia Colorful 4 Monks Buddha Figurines - for Home Decor| Office Decor| Chrismas Decor| Diwali Decor| Vaastu Decor| Fengshui,4.5,413,198,Home Decor,Amazon,Decorative Item
"SPHINX Ceramic Donut Vase, Flower Vase Pampas Grass Vase, Vase Home Decor Centrepiece Decor for Home, Office, or Gifts-Vase Only - (White, 6 inch)",4.6,34,269,Home Decor,Amazon,Decorative Item
"SPHINX Decorative Glass Vase for Flowers Plants Home Decor Office Living Table Decorations, Vases for Home Decor, Luster Glass Vase,Modern Glass Vase - (Crystal Amber, Approx 9 Inches Height)",3.9,30,239,Home Decor,Amazon,Decorative Item
"Wagon Brand | Handmade Cotton Macrame Wall Hanging Mirror with Boho Fringes, Bohemian Art Decorative Aina for Make-Up, Off-White, Dia 18 Inches, Style 2275-10, Framed, Round (Off White)",4,36,490,Home Decor,Amazon,Decorative Item
"eCraftIndia handicrafted Decorative Wall/Door/Window Hanging Bells Wind Chimes Showpiece for Home Decor, Wall Decor, Pooja Room Temple, Diwali Gift, Corporate Gift",4,"5,708",179,Home Decor,Amazon,Decorative Item
"SAF Preety Floral Flower and Leaf in Cone Pot 3 Piece UV Textured Multi-Effect Self adheshive Painting 17 Inch X 17 Inch SANFHX141,Multicolour",4,"4,884",164,Home Decor,Amazon,Decorative Item
MUNDEYA Artificial Garlands Hanging Leaves Greenery Vine Creeper Plants for Home Decor Main Door Wall Balcony Office Decoration Party Festival Craft (8 Feet) (Pack of 3),4.1,805,199,Home Decor,Amazon,Decorative Item
"Perpetual Ganesh Idol for Car Dashboard - Beatiful Ganapati Idol for Home Decor, Office Desk, Diwali Gifts Polyresin Figurine",4,179,120,Home Decor,Amazon,Decorative Item
RUCON® 3D Moon lamp 7 Multi Colors Changing Touch Sensor for Adult and Kids with Wooden Stand Night Lamp for Bedroom Home Decorations Light -15cm,4.2,"3,115",649,Home Decor,Amazon,Decorative Item
"Gokich Metal Tabletop Water Fountain - Decor Ornaments with Waterfall Desktop Lotus Fountains, Deep Basin and Natural River Rocks, Indoor Zen Relaxation for Office, Bedroom Decor Item (Golden, 1 PCS)",4.7,15,"1,389",Home Decor,Amazon,Decorative Item
INDULGE HOMES - White Vase/Flower Vase/Pampas Grass Vase/Ceramic Vase/Round Shaped Vase/Home Decor Centrepiece/Decor Showpiece Donut Vase 6 & 8 Inches (Pack of 2),4.2,573,799,Home Decor,Amazon,Decorative Item
"Global Grabbers Polyresin Sitting Buddha Idol Statue Showpiece for Home Decor Decoration Gift Gifting Items-GOL4-BS2-(00), Gold",4.2,"17,788",429,Home Decor,Amazon,Decorative Item
R A CREATIONS Deer Frame Metal Wall Art- Set Of 3 | Metal Wall Art | Deer Metal Wall Art For Living Room | Wall Decor | Wall Art Decor - 140L x 53W Centimeters,5,1,"2,399",Home Decor,Amazon,Decorative Item
ShadowKart Ottoman Pouffes Stool for Living Room Sitting Furniture Footrest Seat Pouf Puffy Foam Stool Foot Stool for Office Home Decor (Aqua),4.3,23,"1,661",Home Decor,Amazon,Decorative Item
"SR CREATIONS Ottoman Pouffes Sitting Stool for Living Room Velvet Wooden Furniture Puffy Footrest Foot Footrest Seat Pouf Footstool for Office Home Decor, 16x16x17 Inches, Green",4.6,19,"2,749",Home Decor,Amazon,Decorative Item
"KridayKraft Metal Ganesha ji Statue,Ganpati Wall Hanging Sculpture Lord Ganesh Idol Lucky Feng Shui Wall Decor Your Home, Office,Religious Gift Article Decorative,Showpiece Figurines...",4.5,"1,374",284,Home Decor,Amazon,Decorative Item
Zintex Modern Decorative Iron Metal Hanging Wall Art Clock for Home & Decor Living Room/Bedroom/Dining Hall/Office/Cafes/Hotels,3.6,137,"1,080",Home Decor,Amazon,Decorative Item
"ARTIHC Buddha Head Black & Gold 13.5 * 6.5 cm Polyresin Statue for Home Decor, Festive Decoration & Gifting with Crown Idol face Decorative Polyresin Statue",3.7,14,180,Home Decor,Amazon,Decorative Item
"Dekorly Artificial Potted Plants, 8 Pack Artificial Plastic Eucalyptus Plants Small Indoor Potted Houseplants, Small Faux Plants for Home Decor Bathroom Office Farmhouse (Multi-L)",3.8,62,299,Home Decor,Amazon,Decorative Item
"Dime Store Wall Shelves for Home Decor Items, Living Room and Bedroom | Wall Mount Wooden Wall Shelf",4,"5,000",440,Home Decor,Amazon,Decorative Item
Furniture Cafe Wooden Wall Shelves | Corner Hanging Shelf for Living Room Stylish | Zig Zag Home Decor Floating Display Rack Storage Organizer Unique Design with Finish 5 Tiers (Brown Finish),4.3,"11,556",749,Home Decor,Amazon,Decorative Item
TIED RIBBONS Multicolor Flowers with Mercury Glass Vase for Home Decor Center Table Bedroom Living Room and Office Decoration (Multicolor),4,"3,158",499,Home Decor,Amazon,Decorative Item
"VRB DecTM Artificial Greenery Ferns Plants Vines Fake Ivy Hanging Flowers Vine Pine Needle Wall Hanging for Home Decor Door Wall Balcony Decoration Party Festival Craft (Euclyptus Hanging, 1) Plastic",3.5,407,299,Home Decor,Amazon,Decorative Item
Dime Store Wooden Wall Shelves | Corner Hanging Shelf for Living Room Stylish | Zig Zag Home Decor Floating Display Rack for Storage,4,"3,465",739,Home Decor,Amazon,Decorative Item
"VIBEYE Wooden Wall Hangings For Home Decoration - Decorative Items For Home - Used As A Room Decor Items For Bedroom, Office, Kitchen, Living Room, Cafe's…",3.8,25,269,Home Decor,Amazon,Decorative Item
"SATYAM KRAFT 6 Pcs Flameless and Smokeless Decorative Crystal Candles Transparent Acrylic Led Tea Light Candle for Decoration (6 Pieces, Yellow, 2 cm)",4.1,731,248,Home Decor,Amazon,Decorative Item
"Auradecor Moroccan Lantern, Tealight Candle Holder with Tealight Candle for Home Decor Home Decor and Gift, Diwali, Festival, Indoor & Outdoor Use (Red, Pack of 2)",5,11,249,Home Decor,Amazon,Decorative Item
DecoreBugs Artificial Potted Plants in Wooden Pot (4 Pack) Eucalyptus Plants Small Plants for Home Decor | Office Decor |DB-8149,4,414,299,Home Decor,Amazon,Decorative Item
Home Sizzler 144 TC Microfibre Kid's Giraffe Double Bedsheet with 2 King Size Pillow Covers (Yellow),4,"1,681",439,Home Decor,Amazon,Decorative Item
"eCraftIndia Multicolor Polyresin Love Animated Characters Decorative Showpiece for Valentine's Day, for Expressing Love - Best Choice for Girlfriend, Boyfriend, Husband, Wife",4.2,88,299,Home Decor,Amazon,Decorative Item
"Exporthub 1 Piece Beautiful Polyester Door Threads String Curtain - 7ft, White (EHSPR558_74)",3.7,"4,251",199,Home Decor,Amazon,Decorative Item
"kotart - Premium Digital Madhubani Art Paintings with Frame for Home Decor - Framed Wall Painting for Living Room Bedroom Office Room Decor - Painting for Wall Decoration - (10x13 inch, Art 1)",5,1,"1,399",Home Decor,Amazon,Decorative Item
VRB DecTM 5 Pcs Artificial Baby's Breath Gypsophila Flower Sticks for Home Decoration | Faux Flowers for Vases | Decoration Items for Living Room|Home Decor|Diwali Decor|Chritmas (Maroon (Dark Red)),3.8,14,399,Home Decor,Amazon,Decorative Item
"SATYAM KRAFT 5 Pcs Artificial Chrysanthemum Ball Hydrangea Flower Stick for Home, Office Decoration and Craft - (Pack of 5) (Blue)(Without Vase)(Fabric)",4.2,"2,910",269,Home Decor,Amazon,Decorative Item
"JaipurCrafts Sparkle Square Gramophone Showpiece - 23 cm (Brass, Brown, Gold)",3.4,514,299,Home Decor,Amazon,Decorative Item
Naayaab Craft Wooden Decorative Sailing Ship (Small Size) Best Showpiece for Office & Home Decor Multicolor | Home Decorative Wooden Sailing Ship Nautical Showpiece (White) (Size - 15x16x4 CM),3.7,240,399,Home Decor,Amazon,Decorative Item
"CraftVatika Golden Handcrafted Palm Buddha Idol for Home,Office and Gifts - Palm Buddha Hand Statues for Living Room Mandir Pooja Room Living Room Diwali Decor",4.3,285,189,Home Decor,Amazon,Decorative Item
"Crompton Galaxy Decoration Copper USB Powered String Fairy Lights with 100 Led Light (10 Meters, Warm White, Pack of 1)",4.2,"2,896",149,Home Decor,Amazon,Decorative Item
PAPER PLANE DESIGN Poster For Living room Bedroom Office Wall Decoration Set of 12 (B),4.3,"1,759",159,Home Decor,Amazon,Decorative Item
